시군명,기준년월,월별충전액,월별사용액,인센티브율(%)
동두천시,2019-09,250040000.0,194088000.0,6
동두천시,2019-08,102446000.0,205038000.0,6
동두천시,2019-07,344792000.0,251182000.0,6
동두천시,2019-06,113310000.0,210580000.0,6
동두천시,2019-05,383375000.0,244807000.0,6
동두천시,2019-04,264234000.0,66999000.0,6
동두천시,2019-03,,,6
동두천시,2019-02,,,6
동두천시,2019-01,,,6
부천시,2022-12,32124304000.0,29482965000.0,10
부천시,2022-11,27374615000.0,28043430000.0,10
부천시,2022-10,29709048000.0,28935893000.0,10
부천시,2022-09,30279384000.0,29585665000.0,10
부천시,2022-08,28110444000.0,28504951000.0,10
부천시,2022-07,29946714000.0,28089368000.0,10
부천시,2022-06,26933193000.0,26750866000.0,10
부천시,2022-05,27059078000.0,28293292000.0,10
부천시,2022-04,28173912000.0,26795965000.0,10
부천시,2022-03,27556787000.0,24048383000.0,10
부천시,2022-02,20392699000.0,20051841000.0,10
부천시,2022-01,21482454000.0,24632976000.0,10
부천시,2021-12,24138981000.0,24350771000.0,10
부천시,2021-11,23592185000.0,21522530000.0,10
부천시,2021-10,19007845000.0,16906147000.0,10
부천시,2021-09,16300835000.0,16153672000.0,10
부천시,2021-08,20918698000.0,21658186000.0,10
부천시,2021-07,19371504000.0,23618316000.0,10
부천시,2021-06,31917789000.0,28501608000.0,10
부천시,2021-05,22891806000.0,22884674000.0,10
부천시,2021-04,23238877000.0,21138583000.0,10
부천시,2021-03,17992465000.0,18845514000.0,10
부천시,2021-02,15601117000.0,12756248000.0,10
부천시,2021-01,17389108000.0,15270885000.0,10
부천시,2020-12,12533199000.0,14362438000.0,10
부천시,2020-11,16560102000.0,16996525000.0,10
부천시,2020-10,15281675000.0,17677246000.0,10
부천시,2020-09,19720378000.0,18638189000.0,10
부천시,2020-08,11113717000.0,14285179000.0,10
부천시,2020-07,18772814000.0,15717029000.0,10
부천시,2020-06,12756614000.0,11118201000.0,10
부천시,2020-05,13126259000.0,10681250000.0,10
부천시,2020-04,9257889000.0,6736148000.0,10
부천시,2020-03,8353762000.0,5809720000.0,10
부천시,2020-02,2653130000.0,4387444000.0,10
부천시,2020-01,8489107000.0,5689982000.0,10
부천시,2019-12,5009354000.0,4274611000.0,6
부천시,2019-11,2744022000.0,4409268000.0,6
부천시,2019-10,4895479000.0,4859638000.0,6
부천시,2019-09,5983853000.0,4436531000.0,6
부천시,2019-08,4297625000.0,4496234000.0,6
부천시,2019-07,4603626000.0,4058112000.0,6
부천시,2019-06,3963683000.0,2912659000.0,6
부천시,2019-05,4024162000.0,1720872000.0,6
부천시,2019-04,1714964000.0,375329000.0,6
부천시,2019-03,,,6
부천시,2019-02,,,6
부천시,2019-01,,,6
성남시,2022-12,28192054000.0,34049415000.0,10
성남시,2022-11,24524085000.0,28536545000.0,10
성남시,2022-10,19572762000.0,30776282000.0,10
성남시,2022-09,39926803000.0,31784921000.0,10
성남시,2022-08,6242468000.0,34662086000.0,10
성남시,2022-07,33791582000.0,36548229000.0,10
성남시,2022-06,32406990000.0,35716895000.0,10
성남시,2022-05,32418835000.0,39163748000.0,10
성남시,2022-04,46996414000.0,36555950000.0,10
성남시,2022-03,42420113000.0,35724426000.0,10
성남시,2022-02,36683656000.0,31839881000.0,10
성남시,2022-01,69923445000.0,35947600000.0,10
성남시,2021-12,5775760000.0,5753911000.0,10
성남시,2021-11,5153800000.0,4706978000.0,10
성남시,2021-10,5358340000.0,4748956000.0,10
성남시,2021-09,5235180000.0,5102216000.0,10
성남시,2021-08,6405130000.0,5575597000.0,10
성남시,2021-07,5159380000.0,5478565000.0,10
성남시,2021-06,5912360000.0,5711345000.0,10
성남시,2021-05,6884750000.0,6790314000.0,10
성남시,2021-04,8385340000.0,6833122000.0,10
성남시,2021-03,5120380000.0,6145125000.0,10
성남시,2021-02,5392820000.0,4652379000.0,10
성남시,2021-01,5184080000.0,5690308000.0,10
성남시,2020-12,7484129000.0,6270863000.0,10
성남시,2020-11,5512400000.0,5336723000.0,10
성남시,2020-10,5340648000.0,0.0,10
성남시,2020-09,5311670000.0,7009262000.0,10
성남시,2020-08,5528650000.0,7192056000.0,10
성남시,2020-07,7554823000.0,9389885000.0,10
